country,unit,pop_2050_ssp2,suitability_weighted_exposed,exposed_share
Indonesia,Kalimantan Timur,4194389.0,3812270.8,0.9089
Malaysia,Sabah,3689128.6,1966718.2,0.5331
India,Ladakh,252384.7,6767.9,0.0268
India,Arunachal Pradesh,1148022.3,196997.7,0.1716
Vietnam,Kon Tum,487543.7,321443.8,0.6593
Cambodia,Rôtânôkiri,115322.6,107099.8,0.9287
Vietnam,Đắk Nông,462204.4,155416.1,0.3362
Cambodia,Môndól Kiri,78363.2,73408.9,0.9368
Vietnam,Đắk Lắk,1901816.8,1848501.2,0.972
Vietnam,Gia Lai,1016537.4,855992.3,0.8421
Vietnam,Bình Phước,1020506.8,1015972.0,0.9956
Cambodia,Krâchéh,293664.1,293664.1,1.0
Vietnam,Tây Ninh,1168394.7,1168394.7,1.0
Cambodia,Kâmpóng Cham,1897735.5,1897735.5,1.0
Cambodia,Svay Rieng,471347.2,471347.2,1.0
Cambodia,Prey Vêng,1124270.5,1124270.5,1.0
Vietnam,Long An,1853630.3,1777356.7,0.9589
Vietnam,Ðong Tháp,1195645.5,1195645.5,1.0
Vietnam,An Giang,2538985.3,2538985.3,1.0
Cambodia,Kândal,1830014.0,1830014.0,1.0
Cambodia,Takêv,1087341.8,1087341.8,1.0
Vietnam,Kiên Giang,1875116.1,1680013.5,0.896
Cambodia,Kâmpôt,690067.9,670829.8,0.9721
Cambodia,Otdar Mean Chey,185285.3,185285.3,1.0
Thailand,Surin,799414.4,799414.4,1.0
Cambodia,Preah Vihéar,213399.7,213399.7,1.0
Thailand,Si Sa Ket,727927.0,727927.0,1.0
Thailand,Ubon Ratchathani,928618.0,928520.0,0.9999
Cambodia,Siemréab,1598016.6,1598016.6,1.0
Cambodia,Bântéay Méanchey,819383.6,819383.6,1.0
Thailand,Sa Kaeo,464692.3,464532.4,0.9997
Thailand,Buri Ram,1102266.5,1102266.5,1.0
Cambodia,Kaôh Kong,98367.9,82888.6,0.8426
Thailand,Trat,150390.2,71444.5,0.4751
Cambodia,Pouthisat,490068.3,488018.2,0.9958
