country,iso3,SPAR C01 policy/legal [value],SPAR C03 financing [value],SPAR C04 laboratory [value],SPAR C05 surveillance [value],SPAR C06 human resources [value],SPAR C07 health emergency mgmt [value],SPAR C08 health services provision [value],Hospital beds per 10k [value],Medical doctors per 10k [value],Nurses/midwives per 10k [value],DTP3 coverage % [value],Govt health exp % GDP [value],OOP % of CHE [value],UHC service coverage index [value],SPAR C01 policy/legal [year],SPAR C03 financing [year],SPAR C04 laboratory [year],SPAR C05 surveillance [year],SPAR C06 human resources [year],SPAR C07 health emergency mgmt [year],SPAR C08 health services provision [year],Hospital beds per 10k [year],Medical doctors per 10k [year],Nurses/midwives per 10k [year],DTP3 coverage % [year],Govt health exp % GDP [year],OOP % of CHE [year],UHC service coverage index [year]
Singapore,SGP,100.0,100.0,100.0,100.0,90.0,93.0,100.0,28.118399224,26.7,70.9,97.0,2.62583375,25.41850281,88.0,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2025,2023,2023,2023
Malaysia,MYS,80.0,80.0,88.0,80.0,100.0,93.0,100.0,19.628884298,22.72,40.3,95.0,1.97993755,37.09352112,80.0,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2025,2023,2023,2023
Indonesia,IDN,80.0,80.0,72.0,90.0,70.0,93.0,87.0,13.68533391,5.59,33.0,82.0,1.44882917,31.0836544,67.0,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2025,2023,2023,2023
Thailand,THA,90.0,80.0,84.0,100.0,80.0,100.0,93.0,23.8986295,5.91,35.72,92.0,3.5342176,9.93404865,82.0,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2025,2023,2023,2023
Philippines,PHL,60.0,70.0,52.0,70.0,60.0,60.0,80.0,9.694613786,8.69,52.87,71.0,2.16258121,44.36006165,69.0,2023,2023,2023,2023,2023,2023,2023,2021,2024,2024,2025,2023,2023,2023
Viet Nam,VNM,50.0,40.0,60.0,60.0,50.0,40.0,53.0,25.173839304,11.07,14.38,97.0,2.02070236,39.20284653,71.0,2023,2023,2023,2023,2023,2023,2023,2017,2021,2017,2025,2023,2023,2023
India,IND,70.0,100.0,80.0,100.0,100.0,93.0,87.0,15.947148815,9.55,27.15,95.0,1.30319667,43.88510513,69.0,2023,2023,2023,2023,2023,2023,2023,2021,2024,2024,2025,2023,2023,2023
Bangladesh,BGD,70.0,70.0,76.0,80.0,60.0,73.0,80.0,9.24924405,7.22,6.64,92.0,0.31430635,79.30711365,54.0,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2025,2023,2023,2023
Cambodia,KHM,80.0,60.0,80.0,90.0,70.0,73.0,67.0,7.301596938,2.11,10.08,81.0,1.24129963,60.60118866,62.0,2023,2023,2023,2023,2023,2023,2023,2018,2019,2019,2025,2023,2023,2023
Sri Lanka,LKA,40.0,50.0,60.0,100.0,90.0,87.0,80.0,39.349430184,11.36,22.58,96.0,1.23655903,54.81069946,72.0,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2025,2023,2023,2023
