iso3,country,code,indicator,year,value
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2000,0.50841981
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2001,0.38396508
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2002,0.47014153
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2003,0.48277113
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2004,0.48091501
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2005,0.45040676
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2006,0.47882023
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2007,0.48857561
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2008,0.44322866
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2009,0.43522108
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2010,0.47062662
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2011,0.4823136
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2012,0.46968287
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2013,0.4372614
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2014,0.4220427
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2015,0.38844827
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2016,0.4755646
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2017,0.50250494
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2018,0.48568422
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2019,0.36105901
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2020,0.35576752
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2021,0.38806468
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2022,0.34193528
BGD,Bangladesh,GHED_GGHE-DGDP_SHA2011,Govt health exp % GDP,2023,0.31430635
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2000,61.82206726
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2001,65.80530548
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2002,62.93533707
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2003,63.01078033
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2004,63.09557724
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2005,65.38332367
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2006,65.63786316
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2007,66.41323853
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2008,67.83094788
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2009,67.94347382
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2010,67.95515442
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2011,68.17604828
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2012,68.27939606
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2013,69.62185669
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2014,70.75862885
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2015,72.67826843
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2016,71.49494171
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2017,70.08963776
BGD,Bangladesh,GHED_OOPSCHE_SHA2011,OOP % of CHE,2018,70.67902374
