location,T,R,Ref,
"Brisbane, Australia",23.43,3.75,[1],
"Cairns, Australia",27.15,9.26,[1],
"Darwin, Australia",28.83,9.46,[1],
"Thursday Island, Australia",23.43,3.75,[1],
"Townsville, Australia",27.42,5.89,[1],
Philippines,26.15,6.91,[1],
Philippines,26.7,6.52,[1],
"Peshawar district, Pakistan",18.73,1.27,[1],
"Ahmedabad City, India",27.75,2.05,[2],
"Tokyo, Japan",22.04,4.37,[1],
"Tokyo, Japan",22.04,4.44,[1],
"Northern Lao, PDR",24,4.42,[1],
"Rio de Janeiro, Brazil",22.67,3.53,[2],
"Rio de Janeiro, Brazil",22.28,3.45,[2],
Brazil,25.48,4.85,[2],
Colombia,25.09,7.59,[2],
Honduras,24.63,5.22,[2],
Mexico,21.05,2.17,[2],
Puerto Rico,25.08,6.38,[1],
Indonesia,26.01,7.62,[2],
Malaysia,26.41,7.69,[2],
Philippines,26.07,6.47,[2],
Thailand,27.1,4.13,[2],
Vietnam,24.89,4.72,[2],
"Yap Island, FSM",27.4,8.7,[1],
"Fais, FSM",27.4,8.7,[1],
"Ribeirao Preto, Brazil",22.22,4.77,[2],
"Ribeirao Preto, Brazil",22.18,3.78,[2],
"Ribeirao Preto, Brazil",22.22,4.77,[2],
"Ribeirao Preto, Brazil",22.18,3.78,[2],
"Ribeirao Preto, Brazil",22.22,4.77,[2],
"Ribeirao Preto, Brazil",22.18,3.78,[2],
"Guangdong Province, China",21.83,5.18,[2],
"Western Province, Sri Lanka",27.2,6.43,[2],
"Central Province, Sri Lanka",24.7,4.93,[2],
"Sucre Province, Venezuela",24.93,4.12,[2],
"Bolivar Province, Venezuela",24.41,5.81,[2],
"Mueang Rayong, Thailand",28.34,5.27,[2],
"Havana City, Cuba",25.26,4.64,[2],
"Salvador, Brazil",24.67,2.13,[2],
"Salvador, Brazil",24.92,2.29,[2],
Singapore,27.68,6.26,[1],
Brazil,25.48,4.97,[1],
Singapore,27.52,7.15,[1],
"Rio de Janeiro, Brazil",22.01,3.64,[2],
"Belem, Brazil",26.54,6.13,[2],
"Sao Paulo State, Brazil",22.31,3.5,[2],
"Sao Paulo State, Brazil",21.85,3.58,[2],
,,,,[1] National Centers for Environmental Information (NCEI). 2023 https://www.ncei.noaa.gov/cdo-web/.
,,,,[2] World Bank Group. Climate Change Knowledge Portal (CCKP). 2022 https://climateknowledgeportal.worldbank.org/.
