country,unit,area_km2,fine_cells,suitable_months,parent_cells_05deg
Indonesia,Kalimantan Timur,195722.7,6362,10.086,21
Malaysia,Sabah,73841.9,2419,8.899,13
India,Ladakh,64254.4,2512,0.049,13
India,Arunachal Pradesh,80592.1,2958,0.952,11
Vietnam,Kon Tum,10955.5,367,6.504,6
Cambodia,Rôtânôkiri,12137.0,409,10.686,5
Vietnam,Đắk Nông,6450.5,211,4.748,5
Cambodia,Môndól Kiri,13423.8,447,11.637,6
Vietnam,Đắk Lắk,13056.0,436,11.194,6
Vietnam,Gia Lai,16028.7,532,10.148,7
Vietnam,Bình Phước,7193.2,238,11.698,5
Cambodia,Krâchéh,11924.5,396,12.0,3
Vietnam,Tây Ninh,4228.8,139,12.0,3
Cambodia,Kâmpóng Cham,9325.0,310,12.0,4
Cambodia,Svay Rieng,2744.9,94,12.0,4
Cambodia,Prey Vêng,4836.1,158,12.0,3
Vietnam,Long An,4225.1,138,12.0,3
Vietnam,Ðong Tháp,2664.1,89,12.0,3
Vietnam,An Giang,3605.2,117,12.0,4
Cambodia,Kândal,3672.8,123,12.0,3
Cambodia,Takêv,3361.2,110,12.0,4
Vietnam,Kiên Giang,6400.4,215,12.0,7
Cambodia,Kâmpôt,4777.0,163,11.944,5
Cambodia,Otdar Mean Chey,3667.5,122,12.0,2
Thailand,Surin,8562.4,289,12.0,4
Cambodia,Preah Vihéar,13556.9,452,12.0,6
Thailand,Si Sa Ket,8851.1,299,12.0,3
Thailand,Ubon Ratchathani,14524.1,490,11.994,4
Cambodia,Siemréab,14063.7,466,12.0,6
Cambodia,Bântéay Méanchey,6133.7,205,12.0,5
Thailand,Sa Kaeo,7083.5,239,11.992,5
Thailand,Buri Ram,10144.6,340,12.0,5
Cambodia,Kaôh Kong,12664.8,421,9.378,7
Thailand,Trat,2609.3,87,9.411,2
Cambodia,Pouthisat,12623.9,417,11.287,6
Cambodia,Batdâmbâng,12233.0,412,11.932,5
Cambodia,Krong Pailin,1189.6,38,12.0,3
Thailand,Chanthaburi,5832.0,191,12.0,2
India,Sikkim,6942.3,254,0.0,4
India,West Bengal,86363.0,3064,11.009,17
India,Assam,79529.6,2876,8.778,15
Malaysia,Perlis,798.9,27,12.0,2
Thailand,Satun,2539.7,83,12.0,4
Thailand,Songkhla,7461.7,243,12.0,3
Malaysia,Kedah,9130.4,299,11.988,6
Thailand,Yala,4701.6,154,11.695,5
Malaysia,Kelantan,15084.3,492,11.618,7
Thailand,Narathiwat,4428.8,143,10.621,4
Malaysia,Perak,20785.2,680,11.123,6
Indonesia,Nusa Tenggara Timur,46450.8,1523,11.897,12
Malaysia,Sarawak,122556.9,3993,9.27,9
Indonesia,Kalimantan Barat,148150.4,4811,11.274,21
Bangladesh,Chittagong,29223.1,1040,11.023,9
India,Uttarakhand,52639.4,1970,3.299,6
India,Nagaland,16271.5,588,3.744,9
India,Manipur,21668.9,775,3.538,8
India,Mizoram,21242.7,746,6.135,5
Thailand,Chiang Rai,11273.9,395,11.985,6
Thailand,Chiang Mai,22759.6,779,10.995,7
Thailand,Mae Hong Son,13593.1,465,10.96,6
Thailand,Tak,16377.3,553,10.83,7
Thailand,Kanchanaburi,19956.6,666,10.339,8
Thailand,Prachuap Khiri Khan,6928.9,234,11.731,4
Thailand,Phetchaburi,6513.4,218,10.846,3
Thailand,Ratchaburi,5420.3,177,12.0,3
Thailand,Chumphon,5755.7,190,10.577,4
Thailand,Ranong,3444.5,112,9.113,3
Thailand,Phayao,5994.4,205,12.0,5
Thailand,Nan,11721.9,401,10.532,5
Thailand,Uttaradit,7610.7,263,12.0,6
Thailand,Phitsanulok,10507.3,356,12.0,6
Thailand,Loei,10424.3,354,12.0,7
Thailand,Bueng Kan,3987.3,141,10.809,3
Thailand,Nong Khai,3440.3,121,12.0,3
Thailand,Nakhon Phanom,5721.9,195,11.596,2
Thailand,Mukdahan,4091.2,135,12.0,2
Thailand,Amnat Charoen,3932.7,133,12.0,4
Vietnam,Điện Biên,11765.8,405,5.65,7
Vietnam,Son La,14618.6,509,7.472,7
Vietnam,Thanh Hóa,11002.4,383,9.615,7
Vietnam,Nghệ An,17048.7,579,8.26,6
Vietnam,Ha Tinh,6290.3,221,5.677,4
Vietnam,Quảng Bình,8314.4,286,6.425,6
Vietnam,Quảng Trị,4994.9,164,7.767,4
Vietnam,Thừa Thiên - Huế,4695.9,162,6.3,3
Vietnam,Quàng Nam,10990.7,373,6.774,6
Cambodia,Stœng Trêng,11364.3,378,11.823,5
Vietnam,Hà Giang,7926.1,278,4.329,6
Vietnam,Cao Bằng,6207.0,221,5.656,4
Vietnam,Lào Cai,7926.6,277,6.186,5
Vietnam,Lai Chau,5886.1,212,2.725,5
Vietnam,Lạng Sơn,7625.1,269,7.409,5
Vietnam,Quảng Ninh,5316.4,182,7.805,5
India,Tripura,10745.4,380,11.414,6
Bangladesh,Sylhet,11968.9,430,8.372,6
India,Meghalaya,23121.2,827,6.463,5
Bangladesh,Dhaka,30548.6,1090,11.851,9
Bangladesh,Rangpur,15392.7,554,10.794,7
Bangladesh,Rajshahi,18843.9,668,11.49,7
Bangladesh,Khulna,21822.4,766,11.976,6
Indonesia,Papua,312594.4,10222,9.51,28
India,Punjab,50378.2,1902,8.953,12
India,Rajasthan,343081.5,12448,9.865,30
India,Gujarat,184428.0,6487,11.907,19
India,Himachal Pradesh,55397.6,2119,2.727,12
India,Jammu and Kashmir,42553.2,1655,3.418,11
India,Bihar,94689.4,3407,10.748,13
India,Uttar Pradesh,240261.5,8742,9.601,27
Indonesia,Jawa Timur,47248.5,1542,11.381,11
Indonesia,Maluku,44947.9,1458,10.536,18
Indonesia,Nusa Tenggara Barat,19644.7,642,11.723,5
Indonesia,Sulawesi Selatan,46805.8,1525,8.211,6
Indonesia,Jawa Tengah,34058.3,1113,8.894,8
Indonesia,Jawa Barat,37096.9,1211,7.639,5
Indonesia,Jakarta Raya,816.0,27,12.0,1
Indonesia,Banten,9515.0,310,9.917,5
Indonesia,Yogyakarta,3041.0,101,12.0,2
Indonesia,Sulawesi Tenggara,34782.3,1120,10.771,9
Indonesia,Papua Barat,95326.0,3081,10.538,17
Indonesia,Sulawesi Tengah,60730.2,1984,8.648,17
Indonesia,Maluku Utara,31363.9,1020,12.0,18
Indonesia,Kepulauan Riau,6809.1,227,12.0,18
Indonesia,Riau,88265.4,2860,11.926,15
Indonesia,Gorontalo,11907.0,377,10.607,3
Indonesia,Sulawesi Utara,14866.1,486,10.747,16
Indonesia,Sulawesi Barat,16636.6,541,7.647,5
Philippines,Sulu,1179.8,39,,3
Indonesia,Jambi,50932.5,1657,11.581,9
Indonesia,Sumatera Selatan,84701.5,2763,11.453,13
Indonesia,Lampung,32924.9,1076,11.9,9
Indonesia,Bengkulu,20999.3,685,7.879,12
Indonesia,Sumatera Barat,41654.5,1358,8.344,7
Indonesia,Sumatera Utara,73123.8,2369,7.998,14
Indonesia,Aceh,55919.2,1824,8.19,13
Indonesia,Kalimantan Tengah,152034.7,4936,11.701,10
Indonesia,Kalimantan Selatan,38632.5,1258,12.0,11
Philippines,Davao del Norte,3489.1,116,10.027,3
Philippines,Zamboanga Sibugay,2403.7,81,12.0,3
Philippines,Palawan,11866.5,386,12.0,15
Vietnam,Sóc Trăng,2998.2,96,12.0,5
Philippines,Surigao del Norte,2568.2,84,6.0,4
Philippines,Surigao del Sur,5154.3,173,8.655,3
Philippines,Agusan del Norte,2308.1,78,8.962,3
Philippines,Butuan,556.7,17,12.0,2
Philippines,Misamis Oriental,2943.5,89,11.782,3
Philippines,Cagayan de Oro,587.2,23,11.905,2
Philippines,Iligan,673.3,21,11.238,2
Philippines,Lanao del Norte,2205.3,73,10.712,3
Philippines,Zamboanga del Sur,3993.6,131,11.829,5
Philippines,Misamis Occidental,2035.0,67,9.0,2
Philippines,Zamboanga del Norte,6681.5,217,11.9,7
Philippines,Zamboanga,1268.6,41,12.0,2
Philippines,Lanao del Sur,3878.1,126,8.15,5
Philippines,Maguindanao,4738.2,156,11.726,5
Philippines,Cotabato,133.0,5,12.0,1
Philippines,Sultan Kudarat,4481.2,149,12.0,3
Philippines,Sarangani,3012.4,94,12.0,4
Philippines,General Santos,591.8,19,12.0,1
Philippines,Davao del Sur,3877.1,129,12.0,3
Philippines,Davao,2047.2,69,10.247,3
Philippines,Compostela Valley,4195.1,136,7.042,3
Philippines,Davao Oriental,5393.5,174,5.423,2
Sri Lanka,Trikuṇāmalaya,2719.6,86,12.0,3
Sri Lanka,Mulativ,2542.8,83,12.0,3
Sri Lanka,Yāpanaya,988.1,32,12.0,3
Sri Lanka,Kilinŏchchi,1286.5,45,12.0,2
Sri Lanka,Mannārama,1980.3,63,12.0,3
Sri Lanka,Puttalama,3234.2,105,12.0,3
Sri Lanka,Gampaha,1422.9,46,12.0,3
Sri Lanka,Kŏḷamba,679.7,23,12.0,2
Sri Lanka,Kaḷutara,1669.8,56,12.0,3
Sri Lanka,Gālla,1634.5,53,12.0,2
Sri Lanka,Mātara,1306.8,41,12.0,2
Sri Lanka,Hambantŏṭa,2652.0,87,12.0,3
Sri Lanka,Ampāra,4656.6,154,12.0,4
Sri Lanka,Maḍakalapuva,2613.3,87,12.0,2
Philippines,Southern Leyte,1733.2,56,,3
Vietnam,Tiền Giang,2202.1,75,12.0,3
Vietnam,Bà Rịa - Vũng Tàu,1783.2,57,10.255,2
Cambodia,Krong Preah Sihanouk,1375.2,46,11.0,1
Vietnam,Hồ Chí Minh city,1908.3,62,12.0,3
Philippines,Leyte,5318.7,172,11.877,5
Philippines,Eastern Samar,4124.7,138,10.068,3
Philippines,Biliran,463.8,15,,3
Philippines,Samar,5579.6,180,10.148,5
Vietnam,Khánh Hòa,4890.9,166,10.499,2
India,Andhra Pradesh,160581.5,5428,11.916,27
Philippines,Aurora,3304.7,109,10.243,4
Philippines,Quezon,8318.0,277,12.0,4
Philippines,Camarines Norte,2050.6,69,12.0,3
Philippines,Camarines Sur,5108.2,174,11.692,4
Philippines,Albay,2411.4,74,10.041,3
Philippines,Sorsogon,2020.3,71,10.0,3
Philippines,Lucena,109.3,4,,1
Philippines,Batangas,3258.1,111,12.0,3
Philippines,Cavite,1305.4,41,12.0,1
Philippines,Las Pinas,35.8,2,12.0,2
Philippines,Paranaque,50.4,1,12.0,1
Philippines,Pasay,17.7,1,12.0,1
Philippines,Manila,49.2,3,12.0,2
Philippines,Navotas,12.1,0,,0
Philippines,Bulacan,2616.8,90,12.0,3
Philippines,Pampanga,2011.2,64,11.591,3
Philippines,Bataan,1218.4,42,12.0,2
Philippines,Olongapo,190.0,6,,1
Philippines,Zambales,3487.4,118,10.649,3
Philippines,Pangasinan,5193.9,176,10.585,3
Philippines,Dagupan,96.6,4,,1
Philippines,La Union,1594.3,55,0.0,2
Philippines,Ilocos Sur,2711.5,95,5.251,3
Philippines,Ilocos Norte,3498.6,120,11.771,3
Philippines,Cagayan,8821.2,302,12.0,8
Philippines,Isabela,9982.7,338,10.04,6
India,Odisha,155187.9,5378,11.54,21
Bangladesh,Barisal,9104.1,322,11.468,5
Thailand,Phangnga,4055.4,129,11.9,3
Thailand,Krabi,4389.4,144,12.0,4
Thailand,Trang,4700.6,155,12.0,4
Malaysia,Pulau Pinang,1018.3,32,12.0,3
Malaysia,Selangor,7729.7,251,10.78,5
Malaysia,Negeri Sembilan,6693.6,215,12.0,3
Malaysia,Melaka,1685.4,56,12.0,1
Malaysia,Johor,19192.8,625,11.974,7
Malaysia,Pahang,35889.5,1178,10.695,10
Malaysia,Terengganu,13096.1,428,10.071,5
Thailand,Pattani,2001.5,66,12.0,1
Thailand,Phatthalung,3193.9,105,12.0,3
Thailand,Nakhon Si Thammarat,10296.5,333,10.705,5
Thailand,Surat Thani,13447.2,444,10.969,8
Thailand,Samut Songkhram,414.9,16,12.0,2
Thailand,Samut Sakhon,842.8,29,12.0,2
Thailand,Bangkok Metropolis,1563.7,51,12.0,2
Thailand,Samut Prakan,899.7,30,12.0,2
Thailand,Chachoengsao,5549.7,184,12.0,4
Thailand,Chon Buri,4333.1,144,12.0,5
Thailand,Rayong,3660.7,122,12.0,3
Cambodia,Kep,133.7,2,12.0,1
Vietnam,Cà Mau,5148.5,171,12.0,4
Vietnam,Bạc Liêu,2380.9,80,12.0,3
Vietnam,Hau Giang,2137.2,70,12.0,3
Vietnam,Vĩnh Long,1393.4,49,12.0,2
Vietnam,Trà Vinh,2013.4,66,12.0,2
Vietnam,Bến Tre,2116.8,69,12.0,3
Vietnam,Đông Nam Bộ,5874.1,197,11.38,5
Vietnam,Bình Thuận,7579.0,245,11.364,3
Vietnam,Ninh Thuận,3306.8,110,11.636,3
Vietnam,Phú Yên,5099.9,171,11.949,4
Vietnam,Bình Định,6254.6,211,11.023,3
Vietnam,Quảng Ngãi,4592.6,155,9.02,4
Vietnam,Đà Nẵng,723.2,21,6.0,2
Vietnam,Ninh Bình,1268.5,45,10.0,2
Vietnam,Nam Định,1537.5,53,10.0,2
Vietnam,Thái Bình,1577.7,54,10.0,3
Vietnam,Hải Phòng,976.2,32,10.0,2
India,Dadra and Nagar Haveli and Daman and Diu,574.2,19,10.421,3
India,Maharashtra,306563.2,10563,11.28,26
India,Goa,3420.6,116,9.0,2
India,Karnataka,191841.4,6449,11.339,18
India,Kerala,37724.4,1245,9.41,11
India,Puducherry,526.3,18,11.002,4
India,Tamil Nadu,130683.7,4319,11.619,17
India,Lakshadweep,34.1,3,,2
India,Andaman and Nicobar,7106.5,243,11.687,8
Indonesia,Bali,5585.2,182,5.692,4
Singapore,South West,200.2,7,,1
Singapore,Central Singapore,108.6,3,,1
Singapore,South East,78.5,2,,1
Singapore,North East,27.5,1,,1
Singapore,North West,95.6,5,,1
Malaysia,Labuan,90.4,3,,1
Thailand,Phuket,557.0,19,,1
Indonesia,Bangka-Belitung,16539.3,541,12.0,7
Philippines,Tawi-Tawi,780.4,25,12.0,3
Philippines,Basilan,1071.1,36,,2
Philippines,Camiguin,241.3,8,,1
Philippines,Siquijor,326.3,11,,1
Philippines,Bohol,3887.4,128,12.0,3
Philippines,Guimaras,572.4,17,,1
Philippines,Bacolod,151.3,6,11.0,2
Philippines,Negros Occidental,7403.3,248,11.535,6
Philippines,Negros Oriental,5336.1,176,12.0,3
Philippines,Cebu,126.2,5,12.0,1
Philippines,Mandaue,44.4,1,12.0,1
Philippines,Cebu,4445.7,144,12.0,4
Philippines,Puerto Princesa,2178.4,69,12.0,4
Philippines,Tacloban,107.1,4,11.5,2
Philippines,Ormoc,217.5,8,12.0,1
Philippines,Aklan,1846.1,58,10.557,4
Philippines,Antique,2498.8,83,9.681,5
Philippines,Iloilo,4558.7,149,11.159,6
Philippines,Iloilo,133.5,4,,1
Philippines,Capiz,2630.1,90,10.441,3
Philippines,Romblon,1237.0,42,,4
Philippines,Northern Samar,3112.8,101,12.0,3
Philippines,Masbate,3928.4,132,12.0,5
Philippines,Mindoro Oriental,4191.6,141,10.808,5
Philippines,Mindoro Occidental,5937.4,198,10.875,5
Philippines,Marinduque,890.5,32,,3
Philippines,Catanduanes,1487.0,50,10.0,2
Philippines,Batanes,195.6,8,,3
Philippines,Lapu-Lapu,53.1,1,12.0,1
Vietnam,Hòa Bình,4236.0,144,9.16,5
Vietnam,Tuyên Quang,6111.1,216,9.136,3
Vietnam,Yên Bái,6663.2,231,6.593,5
Vietnam,Vĩnh Phúc,1359.0,47,10.0,3
Vietnam,Phú Thọ,3425.4,121,9.719,3
Vietnam,Ha Noi,3303.2,112,10.0,3
Vietnam,Đông Bắc,4745.7,162,6.977,4
Vietnam,Đồng Bằng Sông Hồng,895.2,34,10.0,2
Vietnam,Bắc Ninh,801.3,27,10.0,2
Vietnam,Bắc Giang,3904.1,135,9.186,3
Vietnam,Thái Nguyên,3448.3,121,9.554,4
Vietnam,Hải Dương,1726.9,64,9.953,3
Vietnam,Hà Nam,935.7,33,10.0,2
Vietnam,Bình Dương,2556.9,82,12.0,4
Vietnam,Lâm Đồng,9938.9,331,9.085,5
Vietnam,Can Tho,1661.4,55,12.0,2
India,Jharkhand,77948.0,2758,10.856,14
India,Delhi,1482.4,53,9.0,3
India,Chandigarh,118.7,3,9.0,1
India,Madhya Pradesh,309518.7,10927,10.606,23
Thailand,Khon Kaen,10696.3,366,12.0,7
Thailand,Sakon Nakhon,9556.6,324,11.969,6
Thailand,Suphan Buri,5415.6,180,12.0,5
Thailand,Sing Buri,850.9,28,12.0,2
Thailand,Chai Nat,2480.8,84,12.0,3
Thailand,Ang Thong,971.7,35,12.0,1
Thailand,Saraburi,3019.0,102,12.0,2
Thailand,Nakhon Ratchasima,20760.1,692,11.964,4
Thailand,Nakhon Nayok,2196.6,79,12.0,3
Thailand,Pathum Thani,1478.1,45,12.0,3
Thailand,Uthai Thani,6537.0,221,12.0,4
Thailand,Kalasin,6843.6,232,12.0,4
Thailand,Roi Et,7718.2,258,12.0,5
Thailand,Maha Sarakham,5736.9,195,12.0,2
Thailand,Nong Bua Lam Phu,4244.8,144,12.0,5
Thailand,Lop Buri,6480.4,218,12.0,4
Thailand,Udon Thani,10868.4,364,12.0,6
Thailand,Phra Nakhon Si Ayutthaya,2486.5,85,12.0,3
Thailand,Nonthaburi,592.4,21,12.0,3
Thailand,Nakhon Pathom,2103.9,71,12.0,2
Thailand,Kamphaeng Phet,8747.9,298,12.0,4
Thailand,Lampang,12521.6,430,12.0,3
Thailand,Sukhothai,7066.7,241,12.0,5
Thailand,Nakhon Sawan,9759.4,334,12.0,5
Thailand,Phetchabun,12433.8,411,12.0,6
Thailand,Phichit,4244.8,144,12.0,4
Thailand,Chaiyaphum,13171.8,448,12.0,3
Thailand,Phrae,6595.5,224,12.0,5
Thailand,Lamphun,4065.3,140,12.0,3
Thailand,Prachin Buri,4619.5,155,11.529,3
Thailand,Yasothon,4089.1,140,12.0,3
Malaysia,Kuala Lumpur,239.1,8,12.0,1
Malaysia,Putrajaya,52.1,1,12.0,1
Philippines,Agusan del Sur,7667.7,251,11.592,3
Philippines,Bukidnon,8886.7,293,9.49,4
Philippines,Cotabato,6439.0,208,11.769,5
Philippines,South Cotabato,3712.7,124,12.0,3
Cambodia,Kâmpóng Chhnang,5289.7,178,12.0,4
Cambodia,Kâmpóng Thum,13353.1,449,12.0,5
Cambodia,Kâmpóng Spœ,6811.5,220,11.41,5
Cambodia,Phnom Penh,396.8,13,12.0,1
Sri Lanka,Ratnapura,3305.2,106,7.925,3
Sri Lanka,Mŏṇarāgala,5743.9,187,11.422,4
Sri Lanka,Kægalla,1669.1,56,12.0,2
Sri Lanka,Badulla,2840.8,94,8.935,3
Sri Lanka,Mātale,2090.5,69,12.0,1
Sri Lanka,Pŏḷŏnnaruva,3442.4,118,12.0,3
Sri Lanka,Kuruṇægala,4891.7,161,12.0,4
Sri Lanka,Anurādhapura,7228.7,234,12.0,5
Sri Lanka,Nuvara Ĕliya,1733.0,58,5.792,3
Sri Lanka,Vavuniyāva,2008.3,66,12.0,3
Sri Lanka,Mahanuvara,1950.3,63,11.809,3
Philippines,Muntinlupa,106.3,3,12.0,1
Philippines,Caloocan,53.8,2,12.0,1
Philippines,Malabon,16.6,0,,0
Philippines,Valenzuela,44.8,1,,1
Philippines,Quezon City,164.1,6,12.0,1
Philippines,Nueva Ecija,5407.9,181,11.614,4
Philippines,Laguna,2443.8,84,12.0,4
Philippines,Rizal,1193.6,40,12.0,1
Philippines,Taguig,72.7,4,12.0,2
Philippines,Marikina,24.7,1,12.0,1
Philippines,Pasig,34.0,1,12.0,1
Philippines,Quirino,2949.3,101,7.742,4
Philippines,Santiago,356.9,14,12.0,2
Philippines,Nueva Vizcaya,3775.3,126,8.326,3
